work_id,author_slug,author_name,title,year,work_kind,verification,note
andy-weir--theft-of-pride-2000,andy-weir,Andy Weir,Theft of Pride (2000),,misattrib,confirmed,"INDEPENDENT PASS — Weir's own unpublished, failed first novel attempt; only ever free web text. Excluded as unpublished."
andy-weir--lacero-2016,andy-weir,Andy Weir,“Lacero” (2016),,misattrib,confirmed,"INDEPENDENT PASS — Weir-written fan-fiction bonus story bundled into reissues of Ernest Cline's Ready Player One, not a Weir book. Present in skippedLanguageSample under Weir's authorship, but must not count as his own bibliography entry — same shape as the Wild Cards/39 Clues exclusions elsewhere."
andy-weir--gurps-casey-and-andy-2005,andy-weir,Andy Weir,GURPS Casey and Andy (2005),,misattrib,confirmed,"INDEPENDENT PASS — RPG sourcebook with art by Weir but written by David Morgan-Mar, a different credited author."
andy-weir--diary-of-an-asscan,andy-weir,Andy Weir,Diary of an AssCan,,misattrib,confirmed,"INDEPENDENT PASS — confirmed to exist via Wikipedia, no confirmed standalone paid sale, correctly excluded. Directly visible in skippedLanguageSample — a case where exclusion and pipeline-drop happen to agree, unlike Randomize."
andy-weir--the-martian-lost-sols,andy-weir,Andy Weir,The Martian: Lost Sols,,misattrib,confirmed,"INDEPENDENT PASS — confirmed to exist via Wikipedia, no confirmed standalone paid sale, correctly excluded."
andy-weir--bored-world,andy-weir,Andy Weir,Bored World,,misattrib,confirmed,"INDEPENDENT PASS — confirmed to exist via Wikipedia, no confirmed standalone paid sale, correctly excluded."
andy-weir--twarrior,andy-weir,Andy Weir,Twarrior,,misattrib,confirmed,"INDEPENDENT PASS — confirmed to exist via Wikipedia, no confirmed standalone paid sale, correctly excluded."
andy-weir--rat,andy-weir,Andy Weir,Rat,,misattrib,confirmed,"INDEPENDENT PASS — confirmed to exist via Wikipedia, no confirmed standalone paid sale, correctly excluded."
hugh-howey--wool-trilogy,hugh-howey,Hugh Howey,Wool Trilogy,2011–12,core,confirmed,"Originally 5 Kindle novellas, now sold only as the omnibus — the omnibus IS the core work, not an excludable bundle. INDEPENDENT PASS: kept the longer “Wool Trilogy” form — bare “Wool” is exactly 4 characters, under the comparison tool's fuzzy-matcher length-5 threshold, the same bug already found on Nora Roberts' “Liar” and Amanda Hocking's “Wake” — it was silently failing to match “Wool 4”/“Wool Collector's Edition”/“Wool Trilogy” in the real pipeline output despite being present."
hugh-howey--shift,hugh-howey,Hugh Howey,Shift,2013,core,confirmed,"Prequel trilogy, same consolidation pattern."
hugh-howey--dust,hugh-howey,Hugh Howey,Dust,2013,core,confirmed,Trilogy finale.
hugh-howey--sand,hugh-howey,Hugh Howey,Sand,2014,core,confirmed,"INDEPENDENT PASS: this one is a genuine, different issue from Wool's matcher bug — the real pipeline output never returns a single consolidated “Sand” record at all, only 5 disaggregated fragments (“Sand Part 1” through “Sand Part 5”), unlike Wool where a bare “Wool Trilogy” record exists to match against. This will correctly show as a MISS: not a title-form problem, but real evidence the fix-up-novel consolidation that (sort of) works for Wool isn't happening for Sand — see the edition-of entries below for the 5 real fragment titles."
hugh-howey--beacon-23,hugh-howey,Hugh Howey,Beacon 23,2015,core,confirmed,"Also serialized-then-consolidated; has its own Apple TV+/streaming tie-in, unconfirmed."
hugh-howey--half-way-home,hugh-howey,Hugh Howey,Half Way Home,n/d,core,confirmed,Existence confirmed via Wikipedia/ISFDB/SF Encyclopedia; individual pub. year and history not re-verified.
hugh-howey--the-hurricane,hugh-howey,Hugh Howey,The Hurricane,n/d,core,confirmed,Existence confirmed via Wikipedia/ISFDB/SF Encyclopedia; individual pub. year and history not re-verified.
hugh-howey--i-zombie-stories,hugh-howey,Hugh Howey,"I, Zombie STORIES",n/d,core,confirmed,Existence confirmed via Wikipedia/ISFDB/SF Encyclopedia; individual pub. year and history not re-verified.
hugh-howey--the-plagiarist,hugh-howey,Hugh Howey,The Plagiarist,n/d,core,confirmed,"INDEPENDENT PASS corrected title from “The Plagiarists” (plural) — confirmed via Amazon (ISBN 1460958195) the real title is singular, a standalone novella; almost certainly a pluralization typo in the original pass, not a second work. Later collected in Machine Learning (below)."
hugh-howey--machine-learning-new-and-collected-stories,hugh-howey,Hugh Howey,Machine Learning: New and Collected Stories,2017,core,confirmed,"Single-author collection, sold as its own product — core even though 3 of its stories first appeared in a separate multi-author anthology."
hugh-howey--molly-fyde-and-the-parsona-rescue,hugh-howey,Hugh Howey,Molly Fyde and the Parsona Rescue,2009,core,confirmed,"INDEPENDENT PASS — Bern Saga #1, a whole YA series entirely missing from this record before now. Confirmed present in the real pipeline output (as “...Book 1”)."
hugh-howey--molly-fyde-and-the-land-of-light,hugh-howey,Hugh Howey,Molly Fyde and the Land of Light,2010,core,confirmed,INDEPENDENT PASS — Bern Saga #2. Confirmed present in the real pipeline output.
hugh-howey--molly-fyde-and-the-blood-of-billions,hugh-howey,Hugh Howey,Molly Fyde and the Blood of Billions,2010,core,confirmed,INDEPENDENT PASS — Bern Saga #3. Confirmed present in the real pipeline output.
hugh-howey--molly-fyde-and-the-fight-for-peace,hugh-howey,Hugh Howey,Molly Fyde and the Fight for Peace,2010,core,confirmed,INDEPENDENT PASS — Bern Saga #4. Confirmed present in the real pipeline output.
hugh-howey--across-the-sand,hugh-howey,Hugh Howey,Across the Sand,2022,core,confirmed,INDEPENDENT PASS — sequel to Sand (2014). Confirmed present in the real pipeline output.
hugh-howey--the-shell-collector,hugh-howey,Hugh Howey,The Shell Collector,2014,core,confirmed,"INDEPENDENT PASS — standalone, confirmed real via Wikipedia. Not found in this pipeline snapshot — true-gap candidate."
hugh-howey--misty-the-proud-cloud,hugh-howey,Hugh Howey,Misty: The Proud Cloud,2014,core,confirmed,"INDEPENDENT PASS — children's picture book, illustrated by Nidhi Chanani. A new category for this author's record. Not found in this pipeline snapshot."
hugh-howey--wayfinding-series,hugh-howey,Hugh Howey,Wayfinding series,2015,core,confirmed,"INDEPENDENT PASS — self-published nonfiction essay series, 6 numbered parts plus “Wayfinding – Food and Fitness,” sole-authored. Not found in this pipeline snapshot."
hugh-howey--wool-tv-tie-in,hugh-howey,Hugh Howey,Wool [TV Tie-in],,edition-of,confirmed,"ISBN 9780063378308, Apple TV+ Silo cover."
hugh-howey--wool-deluxe-collector-s-edition,hugh-howey,Hugh Howey,Wool Deluxe Collector's Edition,,edition-of,confirmed,"ISBN 9780063391864, illustrated/bonus-essay edition of Wool."
hugh-howey--wool,hugh-howey,Hugh Howey,Wool,,edition-of,confirmed,"Precursor novella to the Wool omnibus, no longer sold as a discrete product."
hugh-howey--the-silo-series-boxed-set,hugh-howey,Hugh Howey,The Silo Series Boxed Set,,compilation,confirmed,"ISBN 9780358447825 — Wool + Shift + Dust + the Silo Stories chapbook, all already counted."
hugh-howey--silo-stories-chapbook,hugh-howey,Hugh Howey,Silo Stories chapbook,,compilation,confirmed,"checked 6 retailers (Amazon, Kobo, ebooks.com, Google Play, B&N, Everand) — bundle-exclusive, never sold standalone."
hugh-howey--the-end-is-nigh,hugh-howey,Hugh Howey,The End is Nigh,2014,compilation,confirmed,"INDEPENDENT PASS — RESOLVED the file's previously-open question: Howey co-edited all three Apocalypse Triptych volumes with John Joseph Adams, he didn't write them. Correctly excluded as a multi-author anthology (editor role, not author), same treatment as Riordan's edited volumes."
hugh-howey--the-end-is-now,hugh-howey,Hugh Howey,The End is Now,2014,compilation,confirmed,"INDEPENDENT PASS — RESOLVED the file's previously-open question: Howey co-edited all three Apocalypse Triptych volumes with John Joseph Adams, he didn't write them. Correctly excluded as a multi-author anthology (editor role, not author), same treatment as Riordan's edited volumes."
hugh-howey--the-end-has-come,hugh-howey,Hugh Howey,The End Has Come,2015,compilation,confirmed,"INDEPENDENT PASS — RESOLVED the file's previously-open question: Howey co-edited all three Apocalypse Triptych volumes with John Joseph Adams, he didn't write them. Correctly excluded as a multi-author anthology (editor role, not author), same treatment as Riordan's edited volumes. Directly visible in the real pipeline's own skippedLanguageSample with an empty language field — another concrete data point for the empty-language-field bug confirmed on multiple other authors."
hugh-howey--the-best-american-science-fiction-and-fantasy-2024,hugh-howey,Hugh Howey,The Best American Science Fiction and Fantasy (2024),,compilation,confirmed,"INDEPENDENT PASS — same co-editor pattern, with John Joseph Adams. Confirmed present in the real pipeline output but correctly non-core."
amanda-hocking--switched,amanda-hocking,Amanda Hocking,Switched,2010,core,confirmed,"Trylle Trilogy #1 — self-pub original, later St. Martin's Press reissue."
amanda-hocking--torn,amanda-hocking,Amanda Hocking,Torn,2011,core,confirmed,"Trylle Trilogy #2 — self-pub original, later St. Martin's Press reissue."
amanda-hocking--ascend,amanda-hocking,Amanda Hocking,Ascend,2011,core,confirmed,"Trylle Trilogy #3 — self-pub original, later St. Martin's Press reissue."
amanda-hocking--my-blood-approves,amanda-hocking,Amanda Hocking,My Blood Approves,2010,core,confirmed,My Blood Approves #1.
amanda-hocking--fate,amanda-hocking,Amanda Hocking,Fate,2010,core,confirmed,My Blood Approves #2.
amanda-hocking--flutter,amanda-hocking,Amanda Hocking,Flutter,2010,core,confirmed,My Blood Approves #3.
amanda-hocking--wisdom,amanda-hocking,Amanda Hocking,Wisdom,2010,core,confirmed,My Blood Approves #4.
amanda-hocking--letters-to-elise,amanda-hocking,Amanda Hocking,Letters to Elise,2010,core,confirmed,"My Blood Approves #4.5, novella — confirmed sold standalone."
amanda-hocking--swear,amanda-hocking,Amanda Hocking,Swear,2016,core,confirmed,"My Blood Approves #5. INDEPENDENT PASS corrected year from 2013 to 2016 (Nov 9) — confirmed via Wikipedia, hockingbooks.com, FantasticFiction, and OverDrive, six years after the rest of the series. An erroneous 2012 date on FictionDB was not used."
amanda-hocking--hollowland,amanda-hocking,Amanda Hocking,Hollowland,2010,core,confirmed,The Hollows #1.
amanda-hocking--watersong-the-complete-series,amanda-hocking,Amanda Hocking,Watersong: The Complete Series,,compilation,confirmed,bundles 4 already-counted novels.
amanda-hocking--letters-love-blood-2022,amanda-hocking,Amanda Hocking,"Letters, Love, & Blood (2022)",,compilation,confirmed,single-author collection bundling already-counted My Blood Approves shorts.
amanda-hocking--trylle-the-complete-trilogy-2012,amanda-hocking,Amanda Hocking,Trylle: The Complete Trilogy (2012),,compilation,confirmed,omnibus of Switched/Torn/Ascend.
amanda-hocking--the-hollows-collection-the-first-two-years,amanda-hocking,Amanda Hocking,The Hollows Collection: The First Two Years,,compilation,confirmed,"box set, 3 novels + 3 shorts, all already core."
amanda-hocking--the-king-s-games-a-prequel-novelette-2015,amanda-hocking,Amanda Hocking,The King's Games: A Prequel Novelette (2015),,non-book,confirmed,"INDEPENDENT PASS — Kanin Chronicles novelette released free on the author's own site (hockingbooks.com), not sold as a discrete product — same test already applied to Sanderson's “I Hate Dragons”/“Long Chills and Case Dough.”"
veronica-roth--four-a-divergent-collection-2014,veronica-roth,Veronica Roth,Four: A Divergent Collection (2014),,compilation,confirmed,bundles the 5 already-counted standalone shorts.
veronica-roth--divergent-insurgent-allegiant-boxed-set,veronica-roth,Veronica Roth,Divergent/Insurgent/Allegiant boxed set,,compilation,confirmed,ISBN 9780062278784.
veronica-roth--the-world-of-divergent-the-path-to-allegiant,veronica-roth,Veronica Roth,The World of Divergent: The Path to Allegiant,2013,companion-reference,confirmed,"INDEPENDENT PASS — one of a cluster of 4 distinct Divergent-universe companion/reference products, all confirmed present in the real pipeline output. Non-fiction reference material, not a novel; not individually deep-researched for exact authorship split given time budget."
veronica-roth--the-world-of-veronica-roth-s-divergent-series,veronica-roth,Veronica Roth,The World of Veronica Roth's Divergent Series,,companion-reference,confirmed,"INDEPENDENT PASS — one of a cluster of 4 distinct Divergent-universe companion/reference products, all confirmed present in the real pipeline output. Non-fiction reference material, not a novel; not individually deep-researched for exact authorship split given time budget."
diana-gabaldon--past-prologue-2017-co-written-with-steve-berry-in-the-multi-,diana-gabaldon,Diana Gabaldon,"“Past Prologue” (2017, co-written with Steve Berry, in the multi-author anthology MatchUp)",,misattrib,confirmed,"INDEPENDENT PASS — a joint-credit Outlander/Cotton Malone crossover short story. Confirmed present in the real pipeline output, but no independent confirmation of standalone sale outside the anthology this pass, so not added as core."
brandon-sanderson--writing-fantasy-heroes,brandon-sanderson,Brandon Sanderson,Writing Fantasy Heroes,,misattrib,confirmed,"BACKFILL — multi-author anthology/writing-craft volume he contributed to; not-this-author for the volume itself. His specific contribution's standalone-sale status wasn't independently confirmed, so not added as core (same discipline as Salvatore's Worlds of Their Own)."
brandon-sanderson--dragon-writers,brandon-sanderson,Brandon Sanderson,Dragon Writers,,misattrib,confirmed,"BACKFILL — multi-author anthology/writing-craft volume he contributed to; not-this-author for the volume itself. His specific contribution's standalone-sale status wasn't independently confirmed, so not added as core (same discipline as Salvatore's Worlds of Their Own)."
brandon-sanderson--unfettered,brandon-sanderson,Brandon Sanderson,Unfettered,,misattrib,confirmed,"BACKFILL — multi-author anthology/writing-craft volume he contributed to; not-this-author for the volume itself. His specific contribution's standalone-sale status wasn't independently confirmed, so not added as core (same discipline as Salvatore's Worlds of Their Own)."
jrr-tolkien--the-silmarillion-1977,jrr-tolkien,J.R.R. Tolkien,The Silmarillion (1977),,posthumous-compilation,confirmed,"edited/reconstructed by Christopher Tolkien, assisted by Guy Gavriel Kay."
jrr-tolkien--unfinished-tales-of-numenor-and-middle-earth-1980,jrr-tolkien,J.R.R. Tolkien,Unfinished Tales of Númenor and Middle-earth (1980),,posthumous-compilation,confirmed,"edited by Christopher Tolkien, closer to the original fragments."
jrr-tolkien--the-history-of-middle-earth-12-vols-1983-96,jrr-tolkien,J.R.R. Tolkien,"The History of Middle-earth, 12 vols. (1983–96)",,posthumous-compilation,confirmed,"Compiled/annotated by Christopher Tolkien over 13 years — confirmed; a widely-repeated “45 years” figure conflates this series with Christopher Tolkien's entire multi-decade editorial career. INDEPENDENT PASS: expanded from one generic bucket entry into its 12 actual volumes below, since the real pipeline output returns most of them as separate individually-titled records that a single combined string can't fuzzy-match — same undercounting failure mode as Nora Roberts' “___ in Death” bleed."
jrr-tolkien--the-book-of-lost-tales-part-one-1983,jrr-tolkien,J.R.R. Tolkien,"The Book of Lost Tales, Part One (1983)",,posthumous-compilation,confirmed,History of Middle-earth vol. 1.
jrr-tolkien--the-book-of-lost-tales-part-two-1984,jrr-tolkien,J.R.R. Tolkien,"The Book of Lost Tales, Part Two (1984)",,posthumous-compilation,confirmed,History of Middle-earth vol. 2.
jrr-tolkien--the-lays-of-beleriand-1985,jrr-tolkien,J.R.R. Tolkien,The Lays of Beleriand (1985),,posthumous-compilation,confirmed,History of Middle-earth vol. 3.
jrr-tolkien--the-shaping-of-middle-earth-1986,jrr-tolkien,J.R.R. Tolkien,The Shaping of Middle-earth (1986),,posthumous-compilation,confirmed,History of Middle-earth vol. 4.
jrr-tolkien--the-lost-road-and-other-writings-1987,jrr-tolkien,J.R.R. Tolkien,The Lost Road and Other Writings (1987),,posthumous-compilation,confirmed,History of Middle-earth vol. 5.
